price,location,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
35000000.0,"ochu height, lalitpur",6.0,4.0,1700.0,13.0,north-east,3.0,4,semi-furnished
42500000.0,"shital height, lalitpur",6.0,4.0,1700.0,20.0,south-west,3.0,4,full-furnished
36500000.0,"ochu height, lalitpur",6.0,4.0,1700.0,13.0,west,3.0,4,full-furnished
35000000.0,"kamerotar, bhaktapur",5.0,3.0,1700.0,20.0,west,3.0,4,semi-furnished
33000000.0,"sai baba chowk, kathmandu",6.0,4.0,1000.0,13.0,west,3.0,3,semi-furnished
32500000.0,"suryadarshan height, kathmandu",6.0,4.0,1000.0,13.0,east,3.0,3,un-furnished
34000000.0,"grande hospital, kathmandu",6.0,4.0,1000.0,13.0,north-east,3.0,3,un-furnished
40000000.0,"ganesh chowk, kathmandu",6.0,4.0,1000.0,13.0,east,3.0,3,un-furnished
45000000.0,"chunikhel, kathmandu",6.0,4.0,1000.0,13.0,east,3.0,3,full-furnished
29500000.0,"budhanilkantha, kathmandu",6.0,4.0,1700.0,13.0,south,3.0,4,semi-furnished
32500000.0,"kamerotar, bhaktapur",6.0,4.0,1700.0,13.0,west,3.0,4,semi-furnished
29000000.0,"bhandari marg, lalitpur",5.0,3.0,1700.0,20.0,north,3.0,3,full-furnished
46000000.0,"imadol, lalitpur",5.0,3.0,1700.0,13.0,north-west,3.0,4,full-furnished
120000000.0,"budhanilkantha, kathmandu",5.0,3.0,1700.0,20.0,south,2.5,4,semi-furnished
17000000.0,"siddhipur, lalitpur",3.0,2.0,1700.0,7.0,north-east,1.0,3,semi-furnished
28500000.0,"balkot, bhaktapur",4.0,3.0,1700.0,13.0,west,2.5,3,semi-furnished
35000000.0,"kamerotar, bhaktapur",5.0,3.0,1700.0,22.0,south,3.0,4,semi-furnished
38500000.0,"golfutar, kathmandu",6.0,4.0,1700.0,20.0,south,3.0,4,semi-furnished
45000000.0,"sanothimi, bhaktapur",6.0,4.0,1700.0,20.0,east,3.0,4,semi-furnished
40000000.0,"ochu height, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,full-furnished
25000000.0,"hattigauda, kathmandu",6.0,4.0,1000.0,13.0,east,3.0,3,un-furnished
32000000.0,"lubhu, lalitpur",6.0,4.0,1700.0,13.0,north-east,3.0,4,full-furnished
49000000.0,"budhanilkantha, kathmandu",6.0,4.0,1700.0,20.0,south,3.0,4,semi-furnished
26000000.0,"gatthaghar, bhaktapur",6.0,4.0,1700.0,10.0,north-west,3.0,3,un-furnished
37500000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,north,3.0,3,full-furnished
3300000.0,"grande hospital, kathmandu",6.0,4.0,1700.0,11.0,south-west,3.0,3,semi-furnished
49500000.0,"imadol, lalitpur",6.0,5.0,1700.0,13.0,north,3.5,4,full-furnished
34900000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,south-east,3.0,4,full-furnished
33500000.0,"shital height, lalitpur",5.0,5.0,1700.0,13.0,north,3.5,3,full-furnished
27000000.0,"shital height, lalitpur",5.0,4.0,1700.0,13.0,east,3.5,4,semi-furnished
19500000.0,"jarankhu, kathmandu",6.0,4.0,720.0,13.0,north-east,3.5,5,full-furnished
44000000.0,"ganesh chowk, kathmandu",6.0,3.0,1000.0,13.0,south,3.0,3,semi-furnished
38500000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,full-furnished
21500000.0,"balkot, bhaktapur",5.0,3.0,1700.0,13.0,north,3.0,3,semi-furnished
27500000.0,"dhapakhel, lalitpur",6.0,3.0,2637.0,12.0,north,3.5,4,un-furnished
34500000.0,"imadol, lalitpur",7.0,5.0,1700.0,8.0,south,3.0,4,semi-furnished
21500000.0,"harisiddhi, lalitpur",2.0,1.0,988.0,12.0,south,1.0,7,full-furnished
